English,Vietnamese
Human injury in airborne accident,
When no definitive (I07.-),
"Allergic allergic allergic alveolitis caused by fungi, actinomycetes, and other organisms develop in the system [air regulation] ventilation",
,
irid degeneration and eyelid,
Duodenal ulcers (Double hemorrhage or perforation),
Traumatic third degree at the head and neck,
Strychnin toxicity and its sal,
"Acute poliomyelitis, paralytic poliomyelitis, foreign viruses, foreign",
Traumatic lesions of other parts of the head,
"No knee delirium on dementia, as described",
"Osteoporosis in multiple myeloma (C90.0), pelvic, and thigh",
Benign uterine tumors with morphology of M889 and morphology of 0,
Influenza-specific viruses are not identified,
Un implemented for unidentified reasons,
Unidentified abnormalities and other breath abnormalities,
+ no vertebral  No specific or no association with scoliosis,
Injuries of the ligament and muscles in the spine,
"Decreased vision grade 2 in one eye and grade 0, 1, or 9 in the other eye",
Dehydration thirst (X54),
"Acute, subacute and unspecified canaliculitis",
"Psoriatic arthritis with distal (L40.5), pelvic, and thigh joint involvement",
Family history of malignant tumors in respiratory and intrathoracic organs,
"The ossification of the adult spine, neck and back region",
Open wounds in the ank and foot,
Follow-up care related to surgical reconstruction of other parts of the body,
Other disorders of the optic nerve (the nerve II) and the optic line,
- Early warts (in skin) (class) (class) (capsular) (class)),
Radial ligament injury,
- Hepatitis B (acute) (nonspecific virus),
No menses are seen in women who have had prior menses.,
Pulmonary embolism with acute pulmonary embolism,
"Bone tuberculosis (A18.0), scapular region",
Do not intubate or difficult intubation during pregnancy,
"Complications due to contaminated medical and biological substances, transmitted or transmitted",
Abnormalities in cerebrospinal fluid tests: abnormalities in enzymes,
"Congenital malformations syndromes due to known, unclassified external causes",
HIV disease leading to (prolong) systemic lymphadenopathy,
Meningitis and myelitis in other classification diseases,
Family history of antipsychotic abuse,
Metabolic and nutritional disorders in diseases have been classified elsewhere,
"Osteoporosis in multiple myeloma (C90.0), scapular region",
Surgical reconstruction and reconstruction followed by healing or surgery.,
Injuries in tra tra traffic accident know the characteristics of no motor vehicle crash (caused by traffic),
Multiple body lesions (T00-T06),
"Maternal care for abnormalities, fetal lesions or other suspicion",
"Personal history of complications of pregnancy, childbirth, and postpartum",
"Bronchitis and chemical pneumonia, gas, smoke, and volatile substances",
Damage to rupture the wrist and hand,
"Acute glomerulonephritis, disseminated intravascular proliferative glomerulonephritis",
Other urethral changes in diseases have been classified elsewhere,
Trans traffic or small amber injured tra traffic accidents,
+ wait for arrangement of caregivers and children,
"Noninflammatory changes of vulva and perineum, nonspecific",
Personal history of allergy to drugs and organisms (Z88.-),
Actual violations in the group members,
Other unidentified symptoms and signs of systemic sensation and perception,
Radioactive exposure in physical environment (Z58.4),
"Personality disorder is characterized by removal from emotional, social, and other contacts instead of imagination preference, isolated activities, and internation. Emotional expression and pleasure are limited.",
Symptoms and Signs of Emotion Status,
Severe drivers injury in other identified motor vehicle accidents,
Hypersensitivity pneumonia caused by organ dust,
- Clonorchis sinensis,
"Abnormal imaging findings of other abdominal regions, including posterior peritoneal cavity",
Motorbike injured injured with a 2 - 3-crest motor: The drier injured in non traffic accident,
Isolated proteinuria with specific morphologic lesions,
Abnormal maternal signs detected during prenatal examination,
Tibia:  with or without mention of fibula fracture,
"Benign connective tissue and other, nonspecific soft tissue tumors",
The sequelae of malnutrition and other malnutrition (E64.-),
My my myelodysplasia with isolated del (5q) chromosome,
Poisoning due to inhalation of unidentified gas or gas,
"The specific disorder of development in which the child's language understanding is poorer than the level of appropriate with the child's mental age, almost in all cases, the language expression is also significantly affected and there is an abnormality in the formation of language.",
"No, atrophy and congenital stenosis of the intestine",
Lesions of the long flexor muscle and thumb tendon at the wrist and hand,
Mental and Behavioral Disorders due to alcohol use (Mental and Behavioral Disorders),
Venous and venous thrombophlebitis in other sites,
Non-Hodgkin lymphoma,
Abnormal imaging findings of central nervous system,
Neoplasms that are uncertain or unknown of the nature of the nonspecific urinary organs,
burning  of or on non-motor airway,
Infectious arthritis with several viruses,
"Body erosion is unknown, unknown",
+ vaginal muscle during delivery,
Other specific congenital anomalies of peripheral vascular system,
Use of COVID-19 vaccines properly guidelines for prophylaxis is the cause of any side effects.,
Burn and erosion of multiple body regions and unknown,
Toxicity Antacids and other gastric secretions,
Secondary and non-specific malignant tumors of multiple regions,
+ unknown abnormalities  of unknown membranes,
Complex localized episodes develop into secondary generalized episodes,
"Other malaria is confirmed by parasitology, which is not classified",
Vaginal prolapse after hysterectomy (N99.3),
- Enterobacterial infection can be classified as many diseases in B65.0-B81.3 and B81.8,
Other specific diseases in the skin and subcutaneous tissue,
Abnormal findings in specimens from gastrointestinal and abdominal organs,
"Scoliosis due to neuromuscular, sacral, sacral and sacral causes",
"Pulmonary tuberculosis, bacterial and histological negative",
"Unilateral or unidentified femoral hernia, no obstruction or necrosis",
"Infections and inflammatory reactions caused by other internal orthopedic devices, implants, and transplantation",
Renal secondary hyperparathyroidism (N25.8),
"Spinal stenosis in other classified diseases, chest region",
Special screening for diseases and other disorders,
"Walkingers injuries due to crashes, traffic accidents",
"Foreign body in the gastrointestinal tract, unknown",
Detection of abnormalities in urinalysis,
Sleep arrhythmias (G47.2),
Carer injured by a 2 - 3-thirds injured: The injured on or down.,
Superficial lesions associated with other body regions,
Traumatic skull rupture,
Displacental (congenital) internal or other internal cruciate ligament and are nonspecific,
Burn and erosion at the head and neck,
"stiffness, unclassified elsewhere",
"Complications of cardiac and hematologic devices, implantation and transplantation",
"Walkinger, mild motor vehicles injured by crashing with heavy motor vehicles or bus: Driving injured during non-traffic accidents",
"Toxicity Other antiarrhythmic drugs, unclassified elsewhere",
Dengue hemorrhagic fever grade 1 and 2,
"+ Influenza (J09, J10.0, J11.0)",
"Influenza affect the gastrointestinal tract (J09, J10.8, J11.8)",
Diabetic polyneuropathy (E10-E14 with a common order of .4),
"+ nerve  caused by  catheter, endoscopy, instruments, probe sticks  during surgery, procedures",
Common variant immunodeficiency with anti-B or T lymphocyte autoantibodies,
Malignant tumors of respiratory and intrathoracic,
Complications of embryo insertion during embryo transfer,
"Osteoporosis in endocrine diseases (E00-E34), unidentified locations",
Esophageal varices bleeding in disease classification,
